"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"699","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","114","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","116","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","143","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","149","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","158","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","181","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","56","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"909
Surgery Intern Prep","008","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"910","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"910","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Rsrch in Surg","Course Total","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Clinical Elect Surg","Course Total","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"July 27, 2025","","","","","","","","","","","","","","","","","","","Page 455 of 486",""
