"TERM : 1254","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2024-2025","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","MEDICAL SCIENCES - MED SCH Section","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","891
Dept. Total","","",".","",".","",".","",".","",".","",".","",".","96.2","0.6",".","",".","",".","0.4",".","0.6","2.2"
"Summary by Level","","#","Ave","A","","AB","","B","","BC","","C","","D","","F","","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"622","MED SC-M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Graduate","2","***","","","","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
