"941","009
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"941","010
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"941","012
1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Family Medicine Elective","Course Total
8","","",".","",".","",".",".","",".","",".","",".","87.5","",".",".",".",".","12.5",".",".","."
"FAM MED
370","94
Dept. Total","4.000","","2.1","",".","",".",".","",".","",".","",".","91.5","",".","5.3",".",".","1.1",".",".","."
"Summary by Level","#","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","","","","100.0",".",".",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","","","","","","50.0",".",".",".",".",".","."
"Prof Yr 1","1","***","","","","","","","","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 3","28","","",".","",".","",".",".","",".","",".","",".","96.4","",".",".",".",".","3.6",".",".","."
"Prof Yr 4","62","4.000","","1.6","",".","",".",".","",".","",".","",".","95.2","",".","3.2",".",".",".",".",".","."
"Professionals","92","4.000","","1.1","",".","",".",".","",".","",".","",".","93.5","",".","4.3",".",".","1.1",".",".","."
"","Dept. Total
94","4.000","","2.1","",".","",".",".","",".","",".","",".","91.5","",".","5.3",".",".","1.1",".",".","."
