"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"370
Intro Public Health","001","","244","3.850","82.8","11.9","3.3","0.8",".","0.4","0.8",".",".",".",".",".",".",".",".","."
"471
Intro-Environmental Health","001","","79","3.610","45.6","31.6","16.5","3.8",".",".",".","1.3",".",".",".",".",".","1.3",".","."
"548
Economics of Health Care","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Intro-Nutritnl Epidemiology","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"636
Public Health Genomics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Translat'l & Outcomes Research","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"728
Climate Change Medicine","007","","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"739
Climt Chng, Human & Plan Hlth","002","","11","3.813","45.5","27.3",".",".",".",".",".","18.2",".",".",".",".","9.1",".",".","."
"791
Physical Activity Epidemiology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"795
Principles-Populatn Health Sci","002","","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","18","3.529","38.9","27.8","22.2","5.6",".",".",".","5.6",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Practice of Epidemiology","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
Social Netwrk Anlysis & Health","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Cost Eff. Analysis Healthcare","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"915","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"915","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"915","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915","050","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","Course Total","","18","3.625","5.6","16.7",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"917
Preventive Medicine Elective","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
