"BIOSTATISTICS & MED INFORM Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","",""
"542
Intro to Clinical Trials I","003","","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"552
Regression Methods-Pop Health","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"567
Medical Image Analysis","001","","7","3.571","57.1",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Data-Driven Healthcare","001","","25","3.760","72.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Statistics in Human Genetics","001","","13","4.000","92.3",".",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"642
Statistcl Mthds-Epidemiolgy","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"738
Ethics for Data Scientists","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741
Survival Analysis Thry & Mthds","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"768
Stat Mthds-Medical Image Anlys","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"776
Advanced Bioinformatics","001","","10","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"826
Biostats & Biomed Informatics","047","","12","3.864","66.7","25.0",".",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"899","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"899","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-dissertator Research","Course Total","","35","3.976","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
