"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"254
Tiny Earth Genomics","001","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"493","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"493","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"522
Pharmacology II","001","","115","3.739","68.7","14.8","14.8","0.9",".","0.9",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","126","3.480","47.6","17.5","22.2","6.3","5.6",".",".",".",".",".",".",".","0.8",".",".","."
"532
Medicinal Chemistry II","001","","94","3.543","47.9","25.5","13.8","12.8",".",".",".",".",".",".",".",".",".",".",".","."
"541
Pharm Calc & Compounding","001","","126","3.591","46.8","30.2","20.6","0.8","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"581
Mol & Cell Principles in Pharm","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"626
Toxicology II","001","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Introduction to Reg Practice","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"752","001","","21","3.571","52.4","28.6","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"752","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"GxP: Working in Reg Environmnt","Course Total","","30","3.683","63.3","23.3","10.0",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"753","001","","21","3.881","81.0","14.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"753","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharm Economics and Proj","Course Total","","28","3.911","85.7","10.7","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"754
LifecycleManagement","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"755
Lab and Instrumentation","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"756","001","","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"756","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro Data Analyses Drug Dev","Course Total","","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"759
Trends in Drug Disc/Dev","001","","29","3.862","86.2","6.9","3.4",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"760","001","","11","3.900","81.8",".","9.1",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"760","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
