"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","399","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","025","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","027","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fitness Test & Exer Prescript","427","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Sch Phy Ed Stdt Tchg","478","001","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Secondary-Phys Ed Stdt Tchg","479","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athl Healthcare Contemp Persp","487","001","","56","3.625","64.3","8.9","21.4","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Theory Health Programs","501","001","","25","3.180","32.0","40.0","4.0","4.0","12.0","4.0","4.0",".",".",".",".",".",".",".",".","."
"Workshop in Kinesiology","508","001","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Act for Diverse Abilities","516","001","","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Exercise Test&Train","523","001","","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nutrition, Fitness and Health","525","001","","37","3.649","56.8","21.6","16.2","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Neural Control of Movement","531","001","","60","3.808","75.0","16.7","5.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"Sports Sci & Athlete Monitor","555","001","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Rsrch Capstn in Kines","560","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","566","001","","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","566","002","","39","3.795","74.4","15.4","7.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Promoting Community Health","","Course Total","","71","3.873","84.5","8.5","5.6",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","568","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Exercise Psychology","600","001","","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Field Exp in Athl Train I","622","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Athl Training Preceptorship II","625","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Found Prof Pract in Athl Train","650","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eval and Therapeutic Interv II","653","001","","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Medicine Athl Training II","655","001","","13","3.577","53.8","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Scientific Inqry Athl Training","656","001","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Imag Athl Training","671","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Scholarship in AT","674","001","","15","3.867","86.7",".","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
