"TERM : 1112","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2010-2011","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"OBSTETRICS AND GYNECOLOG Section","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN
Dept. Total
436","101","3.613","64.4","13.9","15.8","",".","1.0","",".","",".","2.0","",".",".","",".","",".","3.0",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"436
OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","4","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","6","4.000","100.0",".",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","12","3.966","91.7","8.3",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","22","3.983","95.5","4.5",".","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","37","3.994","89.2","2.7",".","",".",".","",".","",".","5.4","",".",".","",".","",".","2.7",".",".","."
"Prof Yr 3","33","3.274","12.1","33.3","45.5","",".","3.0","",".","",".",".","",".",".","",".","",".","6.1",".",".","."
"Prof Yr 4","9","3.867","77.8","11.1","11.1","",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","42","3.356","26.2","28.6","38.1","",".","2.4","",".","",".",".","",".",".","",".","",".","4.8",".",".","."
"Dept. Total","101","3.613","64.4","13.9","15.8","",".","1.0","",".","",".","2.0","",".",".","",".","",".","3.0",".",".","."
