"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"Society&Health Care-Am Hist","504
001","12","3.625","50.0","41.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Enivr&Hlth-Global Perspective","513
001","11","3.278","18.2","18.2","36.4","9.1",".",".",".","9.1",".",".",".",".","9.1",".",".","."
"Drs & Delusions: Madness & Med","543
001","11","3.500","36.4","27.3","9.1",".","9.1",".",".",".",".",".",".",".","18.2",".",".","."
"Eth & Reg Iss-Clin Investigatn","545
002","30","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553
001","11","3.227","27.3","27.3","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","559
001","18","3.567","16.7","61.1","5.6",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","559
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","559
003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Ethics & Hist of Med","Course Total","28","3.540","21.4","53.6","14.3",".",".",".",".","10.7",".",".",".",".",".",".",".","."
"Greek & Roman Med & Phcy","561
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Studies - Environment & Health","713
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Drs & Delusions: Madness & Med","743
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","919
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","Dept. Total","115","3.488","30.4","33.9","23.5","2.6","2.6",".",".","3.5",".",".",".","0.9","2.6",".",".","."
