"SOCIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"","360
003","","25","2.780","20.0","20.0","12.0","24.0","8.0","16.0",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","","91","2.820","15.4","22.0","16.5","24.2","8.8","9.9","1.1","1.1",".",".",".",".","1.1",".",".","."
"Stats for Sociologists II","361
001","","23","3.500","52.2","21.7","17.4",".","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","","25","3.500","40.0","32.0","20.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Computing-Sociologcl Resrch","365
002","","14","3.429","42.9","21.4","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Mathematical Sociology","375
001","","17","3.294","47.1","11.8","5.9","23.5","11.8",".",".",".",".",".",".",".",".",".",".","."
"Criminology","441
001","","93","3.382","41.9","17.2","24.7","9.7","5.4","1.1",".",".",".",".",".",".",".",".",".","."
"","475
003","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475
004","","36","3.292","36.1","27.8","11.1","13.9","8.3","2.8",".",".",".",".",".",".",".",".",".","."
"","475
005","","37","3.162","29.7","27.0","13.5","21.6","2.7","2.7","2.7",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","Course Total","","86","3.326","39.5","26.7","10.5","15.1","4.7","2.3","1.2",".",".",".",".",".",".",".",".","."
"","496
001","","30","3.667","53.3","33.3","10.0",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","496
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","496
003","","14","2.821","28.6","21.4",".","14.3","21.4","14.3",".",".",".",".",".",".",".",".",".","."
"","496
005","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","496
008","","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496
009","","19","3.658","57.9","26.3","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","Course Total","","95","3.547","54.7","22.1","12.6","2.1","5.3","2.1",".",".",".",".",".",".","1.1",".",".","."
"","530
002","","28","3.089","21.4","28.6","14.3","17.9","17.9",".",".",".",".",".",".",".",".",".",".","."
"","530
003","","18","2.611","5.6","16.7","22.2","27.8","16.7","11.1",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","Course Total","","46","2.934","15.2","23.9","17.4","21.7","17.4","4.3",".",".",".",".",".",".",".",".",".","."
"","532
001","","33","3.606","57.6","30.3","6.1",".","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"","532
002","","6","3.417","50.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","Course Total","","39","3.577","56.4","28.2","5.1","5.1","2.6",".","2.6",".",".",".",".",".",".",".",".","."
"Language&Social Interaction","535
001","","20","3.100","35.0","10.0","25.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"Community Organization&Change","573
001","","10","3.750","70.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575
001","","24","3.541","29.2","50.0","20.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender, Society & Politics","623
001","","19","3.559","52.6","5.3","21.1","10.5",".",".",".",".",".",".",".",".","5.3",".","5.3","."
"Political Sociology","624
001","","13","3.346","53.8","23.1","7.7",".","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"Sociology of the Family","640
001","","28","3.304","32.1","28.6","17.9","10.7","10.7",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Law","641
001","","57","2.947","19.3","22.8","33.3","5.3","5.3","14.0",".",".",".",".",".",".",".",".",".","."
"Soc-Occupations&Professions","643
001","","15","3.609","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648
001","","10","3.111","10.0","40.0","30.0",".",".","10.0",".",".",".",".",".",".","10.0",".",".","."
"Sociology of Agriculture","650
001","","10","3.722","60.0","10.0","20.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Population and Society","663
001","","17","3.588","52.9","17.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Elem Demographic Techniques","674
002","","9","3.167","44.4","22.2","11.1","11.1",".",".","11.1",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681
084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
046","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","698
094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
