"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"362
Development of Young Child","001","","167","3.500","50.3","19.8","16.8","5.4","4.2","1.2","0.6",".",".",".",".",".","1.2","0.6",".","."
"363
Develp: Adolescence-Old Age","001","","165","3.442","35.2","33.3","18.8","10.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"425
Rsch Meth in Hum Devel&Fam St","001","","29","3.768","69.0","13.8","10.3","3.4",".",".",".",".",".",".",".",".","3.4",".",".","."
"469
Family&Com Influences-Child","001","","28","3.589","39.3","42.9","14.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"471","001","","31","3.774","54.8","45.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471","002","","29","3.589","37.9","37.9","20.7",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"Parent-Child Relations","Course Total","","60","3.686","46.7","41.7","10.0",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"474
Racial Ethnic Families in U.S.","001","","31","3.694","67.7","12.9","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".","."
"501","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","002","","18","3.406","50.0","16.7",".","11.1","5.6","5.6",".",".",".",".",".",".","5.6","5.6",".","."
"501","008","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","011","","14","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"501","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","55","3.754","76.4","10.9",".","3.6","1.8","1.8",".",".",".",".",".",".","3.6","1.8",".","."
"516
Family Stress and Coping","001","","29","3.893","79.3","13.8","3.4",".",".",".",".",".",".",".",".",".","3.4",".",".","."
"517
Couple Relationships","001","","29","3.793","89.7","3.4",".","3.4",".",".","3.4",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","30","3.733","70.0","20.0","3.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"601","002","","19","4.000","94.7",".",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"601","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"650
Parent Educ & Support Programs","001","","18","3.912","77.8","16.7",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"662
Adv Study of Young Child","001","","13","3.769","53.8","46.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"663
Developmental & Fam Assessment","001","","28","3.554","42.9","39.3","14.3",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"664
Prosmr:Human Dev & Fam Studies","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"760
Infancy and the Family","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Current Iss-Family Living","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"880
Prevention Science","001","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 142 of 402",""
