"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"","105
001","164","3.893","87.2","9.1","1.2","1.2","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"","105
002","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","181","3.903","88.4","8.3","1.1","1.1","0.6","0.6",".",".",".",".",".",".",".",".",".","."
"","212
001","129","3.857","76.7","18.6","3.9","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
212","24","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness I","Course Total","153","3.833","72.5","22.2","4.6","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","219
001","133","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","219
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Clinical Nursing I","Course Total","157","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","299
010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
078","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","4","***","","","","","","","","","","","","","","","",""
"","301
001","132","3.788","62.1","33.3","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","24","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","Course Total","156","3.772","58.3","37.8","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","310
001","64","3.914","82.8","17.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","121","3.628","31.4","64.5","3.3",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"","322
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","Course Total","144","3.688","42.4","54.2","2.8",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","360
001","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
001","60","3.925","86.7","11.7","1.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","419
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","Course Total","83","3.946","90.4","8.4","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","130","3.927","88.5","8.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","Course Total","153","3.938","90.2","7.2","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","433
001","136","3.915","86.8","9.6","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","433
002","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","Course Total","159","3.918","86.8","10.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449
001","64","3.867","82.8","10.9","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","3","***","","","","","","","","","","","","","","","",""
"","590
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","590
020","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","21","3.877","85.7","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
601","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Advanced Assessment","Course Total","40","4.000","97.5",".",".",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"Adv Practicum for CNS","606
001","13","",".",".",".",".",".",".",".","84.6",".",".",".",".","7.7",".","7.7","."
"Clin Precptrshp-Nurse Prac I","613
040","5","***","","","","","","","","","",".",".",".",".",".",".","."
