"Health Care: Intrdis Appr","105
001","","12","3.917","83.3","16.7","",".",".","","",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
001","","1","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Neural Basis-Norm&Path Mov","713
001","","3","***","","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Special Topics","775
001","","13","3.900","30.8","7.7","",".",".","","",".",".","",".","","61.5",".","",".",".","",".","",".","",".",".","."
"THER SCI
939","Dept. Total","","62","3.947","77.4","8.1","",".","",".","",".","",".","",".","12.9","",".",".","",".","",".","",".",".","1.6","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","7","3.938","85.7","14.3","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","11","3.923","90.9","9.1","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","14","3.912","85.7","14.3","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","15","4.000","93.3",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","6.7","."
"Undergraduates","","","47","3.952","89.4","8.5","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","2.1","."
"Special","","","1","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","14","3.923","35.7","7.1","",".","",".","",".","",".","",".","57.1","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","62","3.947","77.4","8.1","",".","",".","",".","",".","",".","12.9","",".",".","",".","",".","",".",".","1.6","."
