"MED","","","","","","","","","","","","","","","","","","","",""
"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","290","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","299","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","9","3.913","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"OPHTHALM
702","Dept. Total","","9","3.913","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
