"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Pharmacy Practice Experience I","425
001","136","3.878","80.9","14.0","3.7",".","0.7",".",".",".",".",".",".",".","0.7",".",".","."
"","490
001","115","3.206","33.9","17.4","24.3","9.6","11.3","1.7","0.9","0.9",".",".",".",".",".",".",".","."
"","490
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","125","3.252","39.2","16.0","22.4","8.8","10.4","1.6","0.8","0.8",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience III","525
033","134","3.920","91.8","3.7","0.7",".","1.5","0.7",".",".",".",".",".",".","1.5",".",".","."
"Fluid & Electrolyte Therapy","550
001","99","3.571","47.5","23.2","26.3","2.0","1.0",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy I","555
001","135","3.581","45.2","38.5","10.4","3.7",".","2.2",".",".",".",".",".",".",".",".",".","."
"Radiopharmaceuticals","612
001","11","2.955",".","27.3","45.5","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hlth Sys Pharm Analysis & Inf","617
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacotherapy III","655
001","132","3.269","15.9","40.2","27.3","15.2","1.5",".",".",".",".",".",".",".",".",".",".","."
"","664
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","3","***","","","","","","","","","","","","","","","",""
"Veterinary Therapeutics","670
001","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Geriatrics","676
001","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminars in Cardiology","677
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
021","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
085","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","14","3.944","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","25","3.833","72.0","16.0","8.0",".",".",".",".",".",".",".",".",".",".",".","4.0","."
"","740
004","25","3.720","72.0","8.0","12.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","50","3.776","72.0","12.0","10.0","4.0",".",".",".",".",".",".",".",".",".",".","2.0","."
"","741
003","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
004","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","45","3.911","86.7","8.9","4.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
003","77","3.799","71.4","19.5","6.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","760
004","85","3.772","68.2","17.6","4.7","2.4","2.4",".",".",".",".",".",".",".","4.7",".",".","."
"","760
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phmceut Care Specialty Clrkshp","Course Total","163","3.785","69.9","18.4","5.5","2.5","1.2",".",".",".",".",".",".",".","2.5",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","999
028","9","3.643","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
