"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"110","001","","149","3.668","65.8","11.4","14.1","2.7","3.4","0.7",".","1.3",".",".",".",".",".","0.7",".","."
"110","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Communicative Dis","Course Total","","156","3.680","66.7","11.5","13.5","2.6","3.2","0.6",".","1.3",".",".",".",".",".","0.6",".","."
"201
Speech Science","001","","97","2.701","10.3","26.8","16.5","22.7","9.3","10.3","4.1",".",".",".",".",".",".",".",".","."
"202
Normal Aspects of Hearing","001","","85","3.453","50.6","20.0","14.1","7.1","5.9","1.2","1.2",".",".",".",".",".",".",".",".","."
"240
Lang Devlp-Chld & Adolescnt","001","","177","3.506","59.3","13.0","15.3","4.0","4.5","1.1","2.3","0.6",".",".",".",".",".",".",".","."
"303
Speech Acoustics,Perception","001","","75","3.627","52.0","34.7","8.0","2.7",".","2.7",".",".",".",".",".",".",".",".",".","."
"315
Speech Pathology I","001","","90","3.806","71.1","24.4","2.2","1.1",".","1.1",".",".",".",".",".",".",".",".",".","."
"371
PreClin Obs-Chldrn & Adults","001","","54","3.509","29.6","44.4","24.1","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"390
Practicum in Comm Disorders","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Manually Coded English-SL I","001","","67","3.806","70.1","20.9","9.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Child Language Disorders","001","","64","3.570","43.8","31.3","21.9","1.6","1.6",".",".",".",".",".",".",".",".",".",".","."
"455
Topics in Com Dis","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"503
Neurl Mech Speech,Hear&Lang","001","","45","3.807","73.3","13.3","8.9","2.2",".",".",".","2.2",".",".",".",".",".",".",".","."
"681","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"681","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","11","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"682","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","19","3.854","78.9","15.8",".",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"702
Introduction to Graduate Study","001","","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Lang&Learn Disordrs-Childrn","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"707
Swallowing Disorders","001","","27","3.930","88.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"708
Fluency&Phonological Disorders","001","","28","3.607","28.6","64.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"714
Schl Mthd,Procedr:Sp/Lang Path","001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","004","","6","3.909","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 186 of 402",""
