"POPULATION HEALTH SCIENCE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"Air Pollution&Human Health","502","001","","16","3.531","43.8","18.8","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biostats for Pop Hlth","551","001","","18","3.444","22.2","50.0","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth & Global Society","553","001","","14","3.192","14.3","35.7","14.3","28.6",".",".",".","7.1",".",".",".",".",".",".",".","."
"Toxicology I","625","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","026","","22","4.000","86.4",".",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"","650","035","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","049","","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","48","3.927","81.3","12.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual-Hlth Care:Eval&Assurnc","703","001","","17","3.794","64.7","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin-Population Med&Epidemiol","717","001","","161","",".",".",".",".",".",".",".","99.4",".",".",".",".",".",".",".","0.6"
"International Health Systems","718","001","","29","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","","46","3.589","28.3","58.7","10.9",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"","781","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","781","002","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","781","003","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Public Health Seminar","","Course Total","","41","3.976","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","787","002","","19","3.971","84.2","5.3",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"Public Health Field Experience","788","001","","17","3.750","35.3","17.6",".",".",".",".",".",".",".",".",".",".","47.1",".",".","."
"Biol Basis-Population Health","794","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Populatn Health Sci","795","001","","27","3.796","66.7","25.9","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Epidemiology","797","001","","83","3.807","62.7","36.1","1.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Epidemiol: Etiol&Preventn","802","001","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monitoring Population Health","803","001","","16","3.875","81.3","12.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Benefit-Cost Analysis","881","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Quant Meth-Populatn Health II","900","001","","12","3.455","25.0","33.3","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"","904","002","","15","3.893","80.0","6.7","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","904","004","","37","3.905","83.8","13.5","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Epidemiology","","Course Total","","52","3.902","82.7","11.5","3.8",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Epidemiol Elect-Div of Hlth","911","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","913","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","913","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Chem-Newborn-StateLab","","Course Total","","2","***","","","","","","","","","","","","","","","",""
