"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","22","3.028","4.5","40.9","4.5","18.2","13.6",".",".",".",".",".",".",".","13.6",".","4.5","."
"Black Music&Am Cultrl Hist","156","001","280","3.763","56.1","31.8","6.4",".",".",".",".","5.7",".",".",".",".",".",".",".","."
"Directed Study","199","007","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Masterpieces of Afro Amer Lit","227","001","90","3.472","40.0","34.4","11.1","6.7","3.3","2.2",".","1.1",".",".",".",".","1.1",".",".","."
"Intro to Afro-Am History","231","001","87","2.851","10.3","6.9","51.7","9.2","19.5","2.3",".",".",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","35","3.657","54.3","28.6","14.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","21","2.816","9.5",".","47.6","23.8","4.8","4.8",".","9.5",".",".",".",".",".",".",".","."
"Race&Gendr-Post-WW II  US Soc","326","001","29","3.261","34.5","10.3","17.2","3.4","10.3","3.4",".","20.7",".",".",".",".",".",".",".","."
"The Caribbean & its Diasporas","347","001","58","3.054","20.7","27.6","22.4","13.8","5.2","3.4","3.4","3.4",".",".",".",".",".",".",".","."
"Women-African Diaspora&Africa","367","001","7","3.800","42.9","28.6",".",".",".",".",".",".",".",".",".",".","14.3","14.3",".","."
"Mus Cultr: Afr, Eur, Amers","400","001","6","3.100","16.7","16.7","33.3",".","16.7",".",".","16.7",".",".",".",".",".",".",".","."
"Contemp Afrcn&Caribbn Drama","413","001","9","3.161","33.3","11.1","33.3",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"Women's Intl Human Rights","424","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","7","2.750",".","14.3","28.6","28.6","14.3",".",".",".",".",".",".",".","14.3",".",".","."
"African Amer Political Theory","519","001","9","2.286","11.1","11.1","22.2","11.1",".",".","22.2","11.1",".",".",".",".","11.1",".",".","."
"Major Authors","525","001","16","3.156","31.3","25.0","12.5","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Gender, Race&Civil Rgts Mvmnt","625","001","10","3.389","20.0","50.0","10.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Afro-Amer History to 1900","635","001","8","3.375","37.5","25.0","25.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","002","9","3.000","22.2","11.1","33.3","11.1",".","11.1",".",".",".",".",".",".","11.1",".",".","."
"Visual Cultr, Gender&Race Thry","679","001","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","4","***","","","","","","","","","","","","","","","",""
