"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"401
Survey of Pharmacology","001","","171","3.421","43.9","19.3","24.6","6.4","4.7",".","1.2",".",".",".",".",".",".",".",".","."
"420
Intro-Drug Action&Delivry I","001","","137","2.978","12.4","24.1","26.3","21.2","13.1","1.5",".",".",".",".",".",".","0.7",".",".","0.7"
"432
Pharmaceutical Biochemistry","001","","128","3.130","28.1","8.6","43.0","4.7","13.3","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"491
Selected Topics-Pharm Sci","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"521
Pharmacology I","001","","141","3.309","33.3","24.1","26.2","7.8","7.1","0.7","0.7",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","133","3.000","21.8","9.0","39.1","10.5","18.0","1.5",".",".",".",".",".",".",".",".",".","."
"540
Drug Delivery Systems","001","","136","3.066","11.0","21.3","42.6","19.9","5.1",".",".",".",".",".",".",".",".",".",".","."
"541
Drug Delivery Systems Lab I","001","","136","3.254","30.9","21.3","30.9","7.4","6.6","2.9",".",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmcol&Toxcol","001","","15","3.467","33.3","26.7","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"623
Pharmacology III","002","","131","3.767","65.6","22.9","10.7","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"625
Toxicology I","001","","10","3.300","30.0",".","70.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Drug Interactions","001","","11","3.818","63.6","36.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"638
Nonprescription Medications","001","","115","3.435","26.1","44.3","20.9","7.8","0.9",".",".",".",".",".",".",".",".",".",".","."
"645
Phmceut","001","","131","3.305","29.8","17.6","38.2","12.2","2.3",".",".",".",".",".",".",".",".",".",".","."
"Biotech&Phmacogenomics","","","","","","","","","","","","","","","","","","","",""
"691
Senior Thesis","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"768
Pharmacokinetics","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Principles of Pharmaceut Sci","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"890
Chem-Biology Interface I","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Pharmaceutical Sci Seminar","001","","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"January 24, 2011","","","","","","","","","","","","","","","","","","","Page 388 of 402",""
