"MEDICAL SCIENCES - VET MED","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","",""
"Vet Diag&Therapeut Techniq","625
001","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Companion Animal&Equine Med I","632
001","77","3.169","19.5","13.0","55.8","5.2","6.5",".",".",".",".",".",".",".",".",".",".","."
"Food Animal Medicine","634
001","77","3.130","10.4","19.5","61.0","3.9","5.2",".",".",".",".",".",".",".",".",".",".","."
"Small Animal Neurology","667
001","14","4.000","64.3",".",".",".",".",".",".","28.6",".",".",".",".",".",".","7.1","."
"Clin Dermatology Rotation","668
001","23","4.000","52.2",".",".",".",".",".",".","43.5",".",".",".",".",".",".","4.3","."
"Small Anml Cardiolgy Rotatn","669
001","24","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","670
001","38","4.000","18.4",".",".",".",".",".",".","81.6",".",".",".",".",".",".",".","."
"Sr Rotation:Theriogenology","672
001","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Sr Rotation:Ambulatory Serv","674
001","33","4.000","24.2",".",".",".",".",".",".","60.6",".",".",".",".",".",".","15.2","."
"","675
002","23","4.000","60.9",".",".",".",".",".",".","39.1",".",".",".",".",".",".",".","."
"","675
003","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","675
005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
007","19","4.000","21.1",".",".",".",".",".",".","78.9",".",".",".",".",".",".",".","."
"","675
010","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","675
026","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","107","4.000","27.1",".",".",".",".",".",".","72.9",".",".",".",".",".",".",".","."
"","678
001","47","4.000","42.6",".",".",".",".",".",".","55.3",".",".",".",".",".",".","2.1","."
"","678
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","50","4.000","40.0",".",".",".",".",".",".","58.0",".",".",".",".",".",".","2.0","."
"Small Animal Oncology","679
001","18","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
028","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","10","4.000","60.0",".",".",".",".",".",".","30.0",".",".",".",".",".",".","10.0","."
"Production Medicine II","703
001","8","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"Prod Med III-Appl Dy Nutr","705
001","13","4.000","7.7",".",".",".",".",".",".","92.3",".",".",".",".",".",".",".","."
"","775
001","29","",".",".",".",".",".",".",".","93.1",".",".",".",".",".",".","6.9","."
"","775
002","18","",".",".",".",".",".",".",".","83.3",".",".",".",".",".",".","16.7","."
"","003
775","11","",".",".",".",".",".",".",".","72.7",".",".",".",".",".",".","27.3","."
"","004
775","6","",".",".",".",".",".",".",".","66.7",".",".",".",".",".",".","33.3","."
"Externship","Course Total","64","",".",".",".",".",".",".",".","84.4",".",".",".",".",".",".","15.6","."
