"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","242","3.006","21.9","15.3","33.1","8.3","16.5","4.1",".",".",".",".",".",".","0.8",".",".","."
"Contemporary Topics","365
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Property Risk Management","610
001","64","3.023","15.6","17.2","45.3","9.4","9.4","1.6","1.6",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620
001","91","3.189","17.6","27.5","34.1","14.3","5.5",".",".",".",".",".",".",".","1.1",".",".","."
"Risk Financing Techniques","655
001","25","3.180","24.0","28.0","28.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700
001","8","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".","50.0",".",".","."
"Risk Management","710
030","56","3.438","26.8","33.9","39.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Risk Management","820
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","4","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","511","3.115","24.5","19.4","33.1","8.4","10.0","2.2","0.4","0.8",".",".",".",".","1.4",".",".","."
