"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"812","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"812","002","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","007","","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"812","009","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","010","","8","3.438",".","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","65","3.500","24.6","50.8","24.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919
Individualized 4th Yr Clerk","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","043","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
