"SENIOR MEDICAL PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"882
SR MED","","","","","","","","","","","","","","","","","","","",""
"921","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extram Elect-Anesthesiology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Family Med","Course Total","","5","***","","","","","","","","","","","","","","","",""
"923
Extram Elect-Human Oncology","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"924","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Medicine","Course Total","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"926
Extramur Elect-Obstet & Gyn","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pathology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"929","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"929","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Pediatrics","Course Total","","2","***","","","","","","","","","","","","","","","",""
"931","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"931","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Psychiatry","Course Total","","2","***","","","","","","","","","","","","","","","",""
"932","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Radiology","Course Total","","2","***","","","","","","","","","","","","","","","",""
"934","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"934","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"934","043","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","12.5","."
"934","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elect-Surgery","Course Total","","17","3.950","82.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","5.9","."
"936","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"936","042","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","043","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"936","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramur Elec-Emergency Med","Course Total","","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"937","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"937","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Extramural Elect-Intl Health","Course Total","","2","***","","","","","","","","","","","","","","","",""
