"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","12","3.914","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","041","","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","042","","17","3.853","76.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","044","","19","3.806","57.9","36.8",".",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"920","045","","14","3.769","57.1","28.6","7.1",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","68","3.848","70.6","23.5","2.9",".",".",".",".",".",".",".",".",".","1.5",".",".","1.5"
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health in Primary Care","Course Total","","2","***","","","","","","","","","","","","","","","",""
"933","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriat Subinternshp-CSC/VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
"935
Medical Oncology-Marshfield","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","Course Total","","4","***","","","","","","","","","","","","","","","",""
"942
Clin Electrophys-Milwaukee","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiol Consult Serv-CSC","Course Total","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"951","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"951","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatory Cardiology","Course Total","","3","***","","","","","","","","","","","","","","","",""
"953","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
