"MED","","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGRA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"","525
001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","525
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics-Primary Health Care","Course Total","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
001","","29","3.379","17.2","55.2","17.2","6.9","3.4",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Medicine I","Course Total","","35","3.400","20.0","51.4","20.0","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","610
001","","27","3.630","37.0","51.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","610
002","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinic Prevent & Communty Prac","Course Total","","34","3.647","41.2","47.1","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Seminar II","617
001","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Patient Evaluation I","620
001","","27","3.556","29.6","59.3","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","Course Total","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","630
001","","30","3.150","10.0","33.3","36.7","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"","630
002","","6","3.083",".","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Hlth-Physician Asstnts","Course Total","","36","3.139","8.3","36.1","33.3","19.4","2.8",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","14","3.893","85.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","639
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","","31","3.855","74.2","22.6","3.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","","31","3.355","9.7","61.3","19.4","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pharmacology I","Course Total","","43","3.442","18.6","58.1","16.3","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"","649
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","649
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","Course Total","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650
001","","27","3.315","14.8","48.1","25.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","650
002","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods I","Course Total","","33","3.379","18.2","51.5","21.2","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","","304","3.645","40.5","39.5","13.8","5.3","1.0",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"Senior","","","91","3.812","61.5","24.2","8.8","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","","91","3.812","61.5","24.2","8.8","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 1","","","213","3.443","31.5","46.0","16.0","5.2","1.4",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","","213","3.443","31.5","46.0","16.0","5.2","1.4",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","304","3.645","40.5","39.5","13.8","5.3","1.0",".",".",".",".",".",".",".",".",".",".","."
