"TERM:  1242","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","",""
"SUBJECT:  JEWISH STUDIES (510)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","401","LEC","001","3","13:00 - 14:15","T","R","","","","","2","1","0005452962","P / JUDITH SONE"
"A1","423","LEC","001","1","14:30 - 15:45","T","R","","","","0056 0225","17","5","0000267174","P / CHAD GOLDBERG"
"A1","430","LEC","002","1","14:30 - 15:45","T","","","","","0046 5208","206","37","0002601053","P / JOLANDA TAYLOR"
"A1","430","LEC","002","1","14:30 - 15:45","","R","","","","ONLINE","206","37","0006097375","X / ALAYNA BRUNEY"
"A1","430","LEC","002","1","14:30 - 15:45","","R","","","","ONLINE","206","37","0006219977","X / GEMINI FOX"
"A1","430","LEC","002","1","14:30 - 15:45","","R","","","","ONLINE","206","37","0005112870","X / NICK OTT"
"A1","518","SEM","001","1","11:00 - 12:15","T","R","","","","0482 0378","15","3","0000267174","P / CHAD GOLDBERG"
"A1","631","LEC","001","1","13:20 - 15:15","T","","","","","0469 5257","15","0","0003031290","P / TONY MICHELS"
"A1","632","LEC","001","1","11:00 - 11:50","M","W","F","","","ONLINE","35","4","0006290647","P / GABRIEL CHAZAN"
"A1","632","LEC","001","1","11:00 - 11:50","M","W","F","","","ONLINE","35","4","0003568183","S / JILL CASID"
