"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran II","202
001","43","3.049","14.0","32.6","25.6","14.0","4.7",".","4.7","2.3",".",".",".",".","2.3",".",".","."
"19&20 C Russian Lit Tran II","204
001","58","3.535","27.6","50.0","20.7",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205
001","18","3.306","22.2","38.9","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"Polish Lit Tran:Late19&20 C","216
001","26","3.500","34.6","30.8","34.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chekhov in Translation","220
001","16","3.594","56.3","18.8","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Soviet Life&Cult (1917 on)","234
001","32","3.287","34.4","25.0","25.0","6.3","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Bascom Crse-In Translation","236
001","21","3.450","38.1","33.3","9.5","4.8","9.5",".",".",".",".",".",".",".",".","4.8",".","."
"Polish Culture&Lit(in Tran)","242
001","32","3.359","43.8","15.6","31.3",".","6.3",".","3.1",".",".",".",".",".",".",".",".","."
"Lt Trn:Fr Wom Writers Today","251
001","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254
001","21","3.400","38.1","14.3","33.3","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"Middle Eastern Lit in Tran","257
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey-Chinese Lit in Trans","262
001","43","3.226","18.6","32.6","25.6","16.3","4.7",".",".",".",".",".",".",".",".",".","2.3","."
"Survey-Japanese Lit in Tran","264
001","38","3.026","15.8","23.7","28.9","18.4","10.5","2.6",".",".",".",".",".",".",".",".",".","."
"In Tran:Yiddsh Lit-E Europe","269
001","15","3.286","13.3","26.7","53.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"Urdu Prose Fic-Ind&Pak/Tran","273
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand Lit in Tran-20th C","274
001","144","3.102","6.3","34.0","36.1","17.4","3.5",".","0.7","2.1",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","275
001","101","3.323","14.9","48.5","22.8","10.9","2.0",".",".","1.0",".",".",".",".",".",".",".","."
"In Trans: Topics-Scand Lit","312
001","14","2.625","21.4","21.4","21.4",".",".",".","21.4","7.1",".",".",".",".","7.1",".",".","."
"Trans:20C Scand Drama&Film","333
001","9","3.554","44.4","33.3","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Trn-India:B Gita-Tagore","363
001","23","3.413","56.5","17.4","13.0","4.3",".","4.3","4.3",".",".",".",".",".",".",".",".","."
"Class Japanese Prose-Transl","372
002","18","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","691","3.298","23.9","33.4","26.3","9.4","3.5","0.3","1.3","1.2",".",".",".",".","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","149","3.186","10.1","38.3","34.2","12.1","3.4",".","0.7",".",".",".",".",".","0.7",".","0.7","."
"Sophomore","","250","3.273","18.4","37.2","29.6","10.0","3.2","0.4","0.8",".",".",".",".",".",".","0.4",".","."
"Junior","","133","3.381","36.1","32.3","17.3","6.8","3.8","0.8","3.0",".",".",".",".",".",".",".",".","."
"Senior","","153","3.388","34.6","24.2","21.6","8.5","3.9",".","1.3","4.6",".",".",".",".","1.3",".",".","."
"Undergraduates","","685","3.295","23.6","33.6","26.4","9.5","3.5","0.3","1.3","1.0",".",".",".",".","0.4","0.1","0.1","."
"Special","","6","3.700","50.0","16.7","16.7",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","Dept. Total","691","3.298","23.9","33.4","26.3","9.4","3.5","0.3","1.3","1.2",".",".",".",".","0.4","0.1","0.1","."
