"NURSING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","","83","3.476","36.1","33.7","21.7","6.0","2.4",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nursing I","219","001","","50","",".",".",".",".",".",".",".",".",".","98.0","2.0",".",".",".",".","."
"","299","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Hlth Hist&Patient Assessmnt","301","001","","55","3.627","47.3","34.5","16.4",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","302","001","","33","3.833","69.7","27.3","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306","001","","17","3.676","52.9","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","","34","3.632","41.2","44.1","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312","001","","79","3.114","13.9","24.1","39.2","16.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319","001","","49","3.755","63.3","28.6","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","322","001","","24","3.750","50.0","37.5","4.2",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","332","001","","48","3.660","45.8","41.7","6.3","4.2",".",".",".","2.1",".",".",".",".",".",".",".","."
"","341","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theoretical Foundations","","Course Total","","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","","36","3.083","16.7","27.8","19.4","27.8","8.3",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","","57","3.158","26.3","17.5","19.3","35.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","","32","3.828","65.6","34.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","","69","3.659","46.4","40.6","11.6","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433","001","","67","3.933","88.1","10.4","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nursing Research","434","002","","9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Community Health Nursing","444","001","","8","3.714","62.5",".","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Team Appr-Emergncy Care","448","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","","59","3.805","72.9","18.6","5.1","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"Primary Health Care-School","470","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","490","002","","8","3.857","62.5","25.0",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Capstone Practicum for RN's","519","001","","7","3.779","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nurs Care:Person-Cancer","521","001","","15","3.818","53.3","13.3","6.7",".",".",".",".","13.3",".",".",".",".",".",".","13.3","."
"Clinic Exercise Test&Train","523","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","001","","12","3.583","75.0","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","590","002","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","005","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","","Course Total","","52","3.817","88.5","5.8","3.8",".",".",".","1.9",".",".",".",".",".",".",".",".","."
"Clinical Mgmt-Adv Nurs Prac","612","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","001","","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","003","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","613","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 364 of 383",""
