"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","","36","3.471","44.4","22.2","19.4","8.3",".","2.8",".","2.8",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","","160","3.208","19.4","35.6","21.3","13.8","5.6","1.3","0.6","0.6",".",".",".",".","0.6","1.3",".","."
"","401
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
008","","8","3.676","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
014","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
027","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","037
401","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","039
401","","9","3.939","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
045","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","055
401","","9","3.868","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","070
401","","6","3.920","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","","90","3.931","88.9","8.9","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","","222","2.876","13.5","18.5","28.4","18.5","10.4","4.1","2.3","4.1","0.5",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","","111","3.795","71.2","18.0","8.1","0.9","0.9",".",".",".",".",".",".",".",".","0.9",".","."
"Foster Care","576
001","","13","3.540","38.5","23.1","15.4","7.7",".",".",".",".",".",".",".",".",".","7.7","7.7","."
"Social Policy","606
001","","41","3.598","46.3","34.1","12.2","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","","15","3.671","46.7","46.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
002","","17","3.571","29.4","58.8","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Person","Course Total","","32","3.617","37.5","53.1","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623
001","","24","3.853","75.0","12.5","8.3",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Social Wrk with Small Group","624
001","","28","3.828","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
627","","19","3.883","78.9","21.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","627
002","","19","3.940","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","Course Total","","38","3.910","84.2","15.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","640
001","","59","3.949","89.8","10.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work and Adolescents","642
001","","21","3.264","33.3","14.3","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Welfare-Devel Disabilts","644
001","","26","3.600","53.8","26.9","11.5",".",".","3.8",".",".",".",".",".",".","3.8",".",".","."
"","646
001","","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","646
002","","28","3.661","46.4","39.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Abuse and Neglect","Course Total","","54","3.754","64.8","25.9","9.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","001
650","","61","3.557","49.2","19.7","26.2","3.3","1.6",".",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","32","3.628","50.0","31.3","12.5",".","3.1",".",".",".",".",".",".",".","3.1",".",".","."
"Topics-Contemp Soc Welfare","664
001","","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","677
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682
055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 291 of 383",""
