"Independent Rdg & Research","799
095","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","812
003","","30","3.517","20.0","63.3","16.7",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","812
004","","37","3.608","27.0","67.6","5.4",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Third Year Ophthalmology","Course Total","","67","3.567","23.9","65.7","10.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OPHTHALM
702","Dept. Total","","68","3.551","23.5","64.7","11.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","1","3.000",".",".","100.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","65","3.569","24.6","64.6","10.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","67","3.567","23.9","65.7","10.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","68","3.551","23.5","64.7","11.8",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
