"TERM : 0984","","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 1997-98","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","",""
"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLANT PATHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","","",""
"PL PATH
766","Dept. Total","","92","3.789","63.0","5.4","6.5","5.4","1.1","",".","",".","12.0","",".",".","",".","6.5","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","","6","3.167","16.7","33.3","16.7","16.7","16.7","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","","15","3.542","53.3","6.7","20.0","20.0",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","22","3.432","45.5","13.6","18.2","18.2","4.5","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","70","3.902","68.6","2.9","2.9","1.4",".","",".","",".","15.7","",".",".","",".","8.6","",".",".",".","."
"","Dept. Total","","92","3.789","63.0","5.4","6.5","5.4","1.1","",".","",".","12.0","",".",".","",".","6.5","",".",".",".","."
