"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","401","2.564","8.7","11.0","22.4","17.7","30.4","8.7","0.2","0.2",".",".",".",".","0.5",".",".","."
"Social Problems","130","001","90","3.522","48.9","24.4","16.7","3.3","3.3","2.2",".","1.1",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","112","3.071","5.4","26.8","50.0","14.3","2.7","0.9",".",".",".",".",".",".",".",".",".","."
"","134","001","400","2.950","11.0","20.0","37.5","18.0","9.5","1.5","1.5","0.8",".",".",".",".",".","0.3",".","."
"","134","002","98","3.360","31.6","24.5","27.6","7.1","2.0","2.0",".","4.1",".",".",".",".",".","1.0",".","."
"Am Racial&Ethnic Minorities","","Course Total","498","3.012","15.1","20.9","35.5","15.9","8.0","1.6","1.2","1.4",".",".",".",".",".","0.4",".","."
"The Sociology of Gender","138","001","77","3.045","20.8",".","64.9","1.3","11.7",".","1.3",".",".",".",".",".",".",".",".","."
"Intro-Rural Sociology","140","001","24","3.646","58.3","25.0","8.3","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","198","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","198","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","199","016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","6","3.938","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","138","3.438","31.9","39.1","21.0","2.2","2.2","1.4","0.7","0.7",".",".",".",".","0.7",".",".","."
"Gender & Work-Rural America","215","001","19","2.667","10.5",".","42.1","10.5","26.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220","001","28","3.635","50.0","32.1","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Envir, Nat Rsrce & Communty","248","001","26","3.320","65.4",".","11.5",".","7.7","7.7","3.8","3.8",".",".",".",".",".",".",".","."
"Organizations and Society","250","002","48","3.266","31.3","16.7","33.3","6.3","10.4",".",".","2.1",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","9","3.167","11.1","22.2","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","26","3.540","42.3","26.9","23.1",".","3.8",".",".","3.8",".",".",".",".",".",".",".","."
"Honors Tutorial","288","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","357","001","46","3.403","26.1","39.1","26.1","6.5","2.2",".",".",".",".",".",".",".",".",".",".","."
"","357","002","44","3.375","43.2","25.0","11.4","4.5","15.9",".",".",".",".",".",".",".",".",".",".","."
"","357","003","42","3.667","40.5","52.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","","Course Total","132","3.477","36.4","38.6","15.2","3.8","6.1",".",".",".",".",".",".",".",".",".",".","."
"Dsgn&Analysis-Social Rsch","358","001","31","2.855","12.9","32.3","22.6","9.7","9.7","9.7","3.2",".",".",".",".",".",".",".",".","."
"Statis Analysis-Social Rsch","359","001","31","2.790","16.1","12.9","32.3","16.1","12.9","6.5","3.2",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","35","3.044","22.9","14.3","22.9","28.6","5.7","2.9",".",".",".",".",".",".",".","2.9",".","."
"Stats for Sociologists II","361","001","22","3.273","27.3","40.9","13.6","4.5","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","34","3.394","35.3","23.5","23.5","11.8","2.9",".",".",".",".",".",".",".",".",".","2.9","."
"Processes-Deviant Behavior","421","001","89","2.921","22.5","19.1","19.1","21.3","10.1","4.5","3.4",".",".",".",".",".",".",".",".","."
"Criminology","441","001","86","2.929","15.1","20.9","27.9","16.3","14.0","3.5","1.2","1.2",".",".",".",".",".",".",".","."
"","475","001","23","2.850","21.7","21.7","21.7","8.7","17.4",".","8.7",".",".",".",".",".",".",".",".","."
"","475","002","28","2.732","17.9","3.6","32.1","14.3","25.0","7.1",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","51","2.786","19.6","11.8","27.5","11.8","21.6","3.9","3.9",".",".",".",".",".",".",".",".","."
"","496","001","62","3.262","19.4","29.0","35.5","12.9","1.6",".",".",".",".",".",".",".",".",".","1.6","."
"","496","002","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","70","3.297","21.4","30.0","34.3","11.4","1.4",".",".",".",".",".",".",".",".",".","1.4","."
"Topics-Soc: Study Abroad","497","203","4","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 294 of 383",""
