"THERAPEUTIC SCI (DEPT-KINES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","54","3.783","75.9","7.4","11.1","1.9","1.9",".",".","1.9",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","","7","3.643","71.4",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148","001","","54","3.892","77.8","13.0","3.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","475","003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","004","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","005","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","006","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","007","","55","3.482","29.1","43.6","23.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","109","3.825","64.2","22.0","11.9","0.9","0.9",".",".",".",".",".",".",".",".",".",".","."
"Principles-Pro Practice&Adm","512","001","","54","3.602","42.6","35.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534","001","","44","3.602","45.5","34.1","15.9","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Exercise III","536","001","","55","3.482","29.1","43.6","23.6","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537","001","","44","3.886","84.1","9.1","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkshp-Independent Living","544","001","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","545","001","","43","3.860","72.1","27.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546","001","","15","3.433","33.3","20.0","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546","002","","16","3.125",".","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","","Course Total","","31","3.274","16.1","25.8","54.8","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570","001","","43","3.640","55.8","16.3","27.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636","001","","44","3.580","22.7","70.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640","001","","44","3.625","47.7","29.5","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641","001","","44","3.761","70.5","22.7","2.3","2.3",".","2.3",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Phy Ther Mgmnt Strategy","665","001","","54","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","670","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","670","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Fieldwork","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Musc-skel Assessmt/Treatmt","677","001","","55","3.127","5.5","36.4","41.8","10.9","5.5",".",".",".",".",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Special Topics","775","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","791","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","3","***","","","","","","","","","","","","","","","",""
