"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","28","3.268","14.3","39.3","39.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","405
001","27","2.907","22.2","18.5","18.5","14.8","18.5","7.4",".",".",".",".",".",".",".",".",".","."
"","405
002","29","3.259","27.6","24.1","27.6","13.8","6.9",".",".",".",".",".",".",".",".",".",".","."
"","003
405","30","2.833","20.0","10.0","23.3","16.7","26.7","3.3",".",".",".",".",".",".",".",".",".","."
"","405
004","30","3.250","30.0","23.3","16.7","26.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Pathophys Basis-Phmcotherpy","Course Total","116","3.065","25.0","19.0","21.6","18.1","13.8","2.6",".",".",".",".",".",".",".",".",".","."
"","415
003","23","3.761","56.5","39.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
004","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","415
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","51","3.804","62.7","35.3","2.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
426","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426
002","23","3.739","56.5","34.8","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426
003","23","3.804","69.6","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","426
004","22","3.795","59.1","40.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
426","21","3.667","42.9","47.6","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Pharm Care Clrkshp II","Course Total","110","3.759","58.2","35.5","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computr Applic Phmcy Pract","470
001","9","3.389","44.4","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","490
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","550
001","22","3.614","45.5","31.8","22.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeut&Cl Phrmcokinetics","660
001","113","3.031","15.0","18.6","35.4","19.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"","662
003","24","3.500","33.3","41.7","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","004
662","23","3.587","60.9","13.0","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"Inpatient Clerkshp&Extrnshp","Course Total","47","3.543","46.8","27.7","14.9","8.5","2.1",".",".",".",".",".",".",".",".",".",".","."
"","663
003","14","3.690","50.0","42.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","663
004","7","3.864","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Outpatient Clerkship","Course Total","21","3.750","57.1","38.1",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","664
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","665
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","665
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Nuclear Pharmacy Clerkship","Course Total","2","***","","","","","","","","","","","","","","","",""
"","666
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","666
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","666
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Inpatient Clerkshp","Course Total","4","***","","","","","","","","","","","","","","","",""
"Veterinary Therapeutics","670
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
074","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 371 of 383",""
