"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Internatl Trade & Finance","464","001","","30","3.055","23.3","13.3","36.7","13.3","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","","21","2.930","23.8","9.5","33.3","4.8","14.3","9.5",".",".",".",".",".",".",".","4.8",".","."
"Intl Industrial Firms&Orgs","467","001","","17","3.118","35.3","11.8","23.5","11.8","11.8","5.9",".",".",".",".",".",".",".",".",".","."
"Econ Grwth&Devlpmnt-SE Asia","473","001","","14","3.107","14.3","35.7","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","38","3.025","23.7","18.4","34.2","2.6","18.4",".","2.6",".",".",".",".",".",".",".",".","."
"Urban Transport Economics","478","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548","001","","33","3.219","30.3","24.2","15.2","21.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Economics II","606","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compar IR-Devl Countries II","629","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Internatl Trade","664","001","","9","3.111","22.2","44.4",".","22.2",".","11.1",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutional Economics","707","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Econ Stats & Econometrics 2","710","001","","38","3.446","44.7","13.2","31.6",".","7.9",".",".","2.6",".",".",".",".",".",".",".","."
"","713","001","","23","3.250","21.7","8.7","60.9","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","713","002","","7","3.583","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"Thry: Microeconomics Seqnce","","Course Total","","30","3.321","23.3","16.7","50.0","3.3",".",".",".","3.3",".",".",".",".",".",".",".","3.3"
"","714","001","","16","3.433","31.3","37.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"","714","002","","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Thry: Macroeconomics Seqnce","","Course Total","","27","3.404","29.6","33.3","22.2","7.4","3.7",".",".",".",".",".",".",".",".",".",".","3.7"
"Econometric Methods","716","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Finance & Fiscal Pol","742","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutn Aspect-Labor Econ","751","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Empir Anal-Ind Org&Pub Pol","762","001","","6","3.250","33.3","16.7","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Topics in Microecon Theory","809","001","","8","3.500","62.5",".","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Macroeconometric Anal","836","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics - Public Finance","846","001","","8","3.536","12.5","87.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv International Economics","872","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-International Economics","873","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Quantitative Econ Policy","880","001","","27","3.366","22.2","51.9","14.8","3.7","7.4",".",".",".",".",".",".",".",".",".",".","."
"Recent Advances-Economics","899","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Economic Theory","902","001","","16","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Wrkshp-Industrl Organizatn","904","001","","19","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Workshop in Econometrics","914","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Labor Economics","956","001","","12","",".",".",".",".",".",".",".","91.7","8.3",".",".",".",".",".",".","."
"Quantitatve Macro-Econ Anal","966","001","","21","",".",".",".",".",".",".",".","95.2",".",".",".",".","4.8",".",".","."
"Workshop - Public Economics","969","001","","30","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 197 of 383",""
