"REHAB PSYCH & SPECIAL EDU","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","",""
"300","001","","102","3.824","79.4","14.7","2.9","1.0","1.0",".","1.0",".",".",".",".",".",".",".",".","."
"300","002","","98","3.796","78.6","12.2","7.1",".",".","1.0","1.0",".",".",".",".",".",".",".",".","."
"Individls with Disabilities","Course Total","","200","3.810","79.0","13.5","5.0","0.5","0.5","0.5","1.0",".",".",".",".",".",".",".",".","."
"330
Behav Anal:Person-Disabilty","001","","35","3.857","82.9","5.7","11.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"340","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"340","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"340","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Assess Stdts-Special Needs","Course Total","","3","***","","","","","","","","","","","","","","","",""
"360
Prepracticum: Special Educ","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Intro-Behav/Emotnl Disablts","001","","88","3.759","61.4","23.9","6.8","1.1","1.1",".",".","4.5",".",".",".",".",".",".","1.1","."
"421
Curr&Meth:Behav/Emo Dis,K-9","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"422
Curr&Mth:Behav/Emo Dis,6-12","015","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"424
Diag&Assess:Std-Bhv/EmtnDis","001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"425
Pract:Behavrl/Emotnl Disabl","015","","15","3.964","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"430
Young Child-Excpt Ed Needs","001","","41","3.402","48.8","12.2","22.0","4.9","12.2",".",".",".",".",".",".",".",".",".",".","."
"434
Diag&Assess:Erl Chld Spc Ed","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"435
Pract:Early Chldhd Spec Ed","016","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"440
Intellectual Disabilities","001","","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"444
Diag&Assess:Stdts-Intel Dis","004","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"445
Prac-Intellect Disabilities","004","","12","3.932","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"501
Rehab-Cnslg Psych: Applcatn","001","","19","3.585","42.1","42.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"506
Strategy-Inclusive Schoolng","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"550
Rehab Psych-Medical Aspects","001","","38","3.319","31.6","28.9","23.7","7.9","5.3","2.6",".",".",".",".",".",".",".",".",".","."
"630","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"630","018","","22","3.887","77.3","22.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrshp-Rehab or Spec Educ","Course Total","","26","3.897","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"690","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"690","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"690","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"690","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research or Thesis","Course Total","","16","3.895","68.8","12.5","6.3",".",".",".",".",".",".",".",".","6.3","6.3",".",".","."
"699","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","9","3.933","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","33","3.947","87.9","9.1",".",".",".",".",".",".",".",".",".","3.0",".",".",".","."
