"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","42","2.949",".","31.0","28.6","26.2","7.1",".",".","4.8",".",".",".",".",".","2.4",".","."
"Black Music&Am Cultrl Hist","156","001","96","3.384","31.3","27.1","29.2","9.4","2.1",".",".",".",".",".",".",".",".","1.0",".","."
"Directed Study","199","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","58","3.184","20.7","32.8","24.1","6.9","12.1","1.7",".","1.7",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","121","3.099","17.4","30.6","25.6","15.7","6.6","4.1",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","78","3.590","42.3","41.0","14.1",".","1.3","1.3",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","16","3.125","18.8","12.5","50.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Lit: 1930s to Present","268","001","93","3.764","68.8","21.5","4.3","1.1",".","2.2",".","2.2",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","34","3.203","32.4","11.8","32.4","8.8","5.9",".","2.9","5.9",".",".",".",".",".",".",".","."
"Bl Mus-Voc/Tromb/Misc Instr","309","001","9","3.444","33.3","44.4","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Contemporary African Art","320","001","25","2.652","12.0","8.0","32.0","16.0","16.0",".","8.0","4.0",".",".",".",".",".",".",".","4.0"
"Gender, Race & Class","323","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Afro-Am Upper Midwest","430","001","53","2.971","22.6","15.1","32.1","9.4","9.4","3.8","3.8","1.9",".",".",".",".",".","1.9",".","."
"Race,Gendr,Ethn-Labor Markt","460","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavery in the Amer South","467","001","23","3.391","30.4","34.8","17.4","17.4",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Afro-Amer Poetry","503","001","15","3.567","60.0","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","9","3.167","22.2","33.3","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"Art of Afro-Am Women in US","540","001","12","3.333","41.7","16.7","25.0",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","002","23","2.881","8.7","17.4","26.1","21.7","17.4",".",".","8.7",".",".",".",".",".",".",".","."
"Afro-Am Hist Since 1900","636","001","33","3.197","15.2","48.5","15.2","15.2","3.0",".","3.0",".",".",".",".",".",".",".",".","."
"Topics-Multicultrl Amer Lit","662","001","23","3.405","34.8","13.0","39.1",".","4.3",".",".","8.7",".",".",".",".",".",".",".","."
"","671","001","13","3.731","84.6","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","671","002","24","3.854","70.8","29.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","","Course Total","37","3.811","75.7","21.6",".",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"","673","001","12","3.182","33.3","16.7","16.7",".","25.0",".",".","8.3",".",".",".",".",".",".",".","."
"","673","002","13","3.042","7.7","38.5","7.7","30.8","7.7",".",".","7.7",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","","Course Total","25","3.109","20.0","28.0","12.0","16.0","16.0",".",".","8.0",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honor Thesis","682","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","6","3.531","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","201","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","18","3.830","66.7","16.7","11.1",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"","790","019","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
