"PHM","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Advanced Independent Study","Course Total","","12","3.604","66.7","8.3","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","001
710","","7","3.214","14.3","28.6","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
710","","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Geriatric Pharmacotherapy","Course Total","","26","3.500","50.0","19.2","19.2","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","720
001","","28","3.304","28.6","25.0","32.1","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","720
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Respiratory Pharmacotherapy","Course Total","","29","3.293","27.6","24.1","34.5","6.9","6.9",".",".",".",".",".",".",".",".",".",".","."
"","001
721","","28","3.536","42.9","28.6","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","721
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","721
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiovasclr Pharmacotherpy","Course Total","","30","3.517","40.0","30.0","23.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","28","3.464","25.0","50.0","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","002
722","","18","3.472","22.2","50.0","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
003","","10","3.250","40.0","10.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"","722
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastrointestnl Pharmacother","Course Total","","57","3.439","28.1","42.1","19.3","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"","723
001","","28","3.286","39.3","17.9","25.0","3.6","10.7","3.6",".",".",".",".",".",".",".",".",".","."
"","723
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renal Pharmacotherapy","Course Total","","29","3.207","37.9","17.2","24.1","3.4","10.3","6.9",".",".",".",".",".",".",".",".",".","."
"","001
725","","28","3.411","17.9","50.0","28.6","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","","19","3.237","10.5","31.6","52.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","725
003","","11","2.864",".","18.2","36.4","45.5",".",".",".",".",".",".",".",".",".",".",".","."
"","725
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Immunology Pharmacotherapy","Course Total","","59","3.246","11.9","37.3","39.0","11.9",".",".",".",".",".",".",".",".",".",".",".","."
"","001
727","","28","3.536","39.3","35.7","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","727
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","Course Total","","29","3.552","41.4","34.5","17.2","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","740
004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","741
003","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Information Clerkship","742
001","","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","743
006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","743
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Medicatn Use Policy Clrkshp","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pharmacy Specialty Clrk","Course Total","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 372 of 383",""
