"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"799","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"799","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","18","3.979","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"811
Assess Mthd-Speech/Lang Dis","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"816
Acoustical Phonetics","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"819
Deviant Phonologal Acquistn","001","","30","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","25","3.960","92.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","002","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","Course Total","","40","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","19","3.316","21.1","26.3","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","13","3.115",".","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Pathology","Course Total","","32","3.234","12.5","25.0","59.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920
Seminar-Auditory Disorders","001","","12","3.292","8.3","41.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"922
Smr-Experimental Audiology","001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"940
Lang Pathology-Children","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","16","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","2","***","","","","","","","","","","","","","","","",""
