"MED","","","","","","","","","","","","","","","","","","","","","","",""
"POPULATION HEALTH SCIENCE Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"POP HLTH
Dept. Total
810","287","3.694","58.2","17.8","11.5","1.0","1.7","",".","",".","3.8","",".",".","",".","",".","5.6","0.3",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","3.333","50.0",".","50.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","8","3.500","37.5","25.0","25.0",".",".","",".","",".","12.5","",".",".","",".","",".",".",".",".","."
"Senior","21","3.045","23.8","9.5","33.3","9.5","14.3","",".","",".","9.5","",".",".","",".","",".",".",".",".","."
"Undergraduates","31","3.160","29.0","12.9","32.3","6.5","9.7","",".","",".","9.7","",".",".","",".","",".",".",".",".","."
"Special","15","3.775","53.3","26.7","6.7",".",".","",".","",".","6.7","",".",".","",".","",".","6.7",".",".","."
"Graduate","233","3.762","62.2","18.5","8.2","0.4","0.9","",".","",".","3.0","",".",".","",".","",".","6.4","0.4",".","."
"Prof Yr 4","8","3.625","62.5",".","37.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","8","3.625","62.5",".","37.5",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","287","3.694","58.2","17.8","11.5","1.0","1.7","",".","",".","3.8","",".",".","",".","",".","5.6","0.3",".","."
