"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"","699
012","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","013
699","151","3.623","62.9",".","36.4",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","158","3.623","60.1",".","34.8",".","0.6",".",".","4.4",".",".",".",".",".",".",".","."
"Infection and Immunity II","702
001","149","3.577","58.4",".","40.9",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Cardiovascular System","706
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastrointestinal Tract","707
001","140","3.721","75.0",".","22.1",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Hepatic","708
001","139","3.719","74.8",".","22.3",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"Male/Female Endocrine Sys","711
001","152","3.296","44.1",".","41.4",".","14.5",".",".",".",".",".",".",".",".",".",".","."
"Psychiatry","716
001","74","3.473","51.4",".","44.6",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"Autopsy Pathology","718
001","145","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Neoplastic Diseases","721
001","150","3.960","96.7",".","2.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Pharmacology II","727
001","154","3.838","83.8",".","16.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
731","126","3.813","80.2","2.4","17.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","731
002","16","3.688","75.0",".","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience","Course Total","142","3.799","79.6","2.1","17.6",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"Human Sexuality","732
001","47","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Complementry Med-Clin Pract","733
001","104","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","801
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
002","38","3.974","97.4",".","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801
003","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
801","37","3.973","97.3",".","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Medicine & Practice I","Course Total","136","3.985","98.5",".","1.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Generalist Partners Prgm II","804
001","145","3.966","98.6",".","0.7",".",".",".","0.7",".",".",".",".",".",".",".",".","."
"MED SC-M
622","Dept. Total","1836","3.736","63.2","0.2","18.1",".","2.0",".","0.1","10.8",".","5.7",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Junior","","2","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Senior","","21","3.550","28.6",".","19.0",".",".",".",".","4.8",".","47.6",".",".",".",".",".","."
"Undergraduates","","23","3.550","26.1",".","17.4",".",".",".",".","4.3",".","52.2",".",".",".",".",".","."
"Special","","8","3.176","37.5",".","37.5",".","12.5",".",".",".",".","12.5",".",".",".",".",".","."
"Graduate","","12","3.539","41.7","25.0","8.3",".",".",".",".",".",".","25.0",".",".",".",".",".","."
"Prof Yr 1","","410","3.858","72.9",".","12.0",".","0.2",".",".","2.7",".","12.2",".",".",".",".",".","."
"Prof Yr 2","","1375","3.678","61.6",".","19.9",".","2.5",".","0.1","13.1",".","2.8",".",".",".",".",".","."
"Prof Yr 3","","8","3.000",".",".","12.5",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"Professionals","","1793","3.742","63.9",".","18.1",".","2.0",".","0.1","11.0",".","4.9",".",".",".",".",".","."
"","Dept. Total","1836","3.736","63.2","0.2","18.1",".","2.0",".","0.1","10.8",".","5.7",".",".",".",".",".","."
