"RISK MANAGEMENT AND INSUR Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","","239","2.918","11.7","9.6","51.0","14.2","10.0","2.5","0.8",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Liability Risk Management","615","001","","27","3.135","18.5","11.1","55.6",".","11.1",".",".","3.7",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","","28","3.019","17.9","17.9","25.0","21.4","14.3",".",".","3.6",".",".",".",".",".",".",".","."
"Government Insurance Progs","625","001","","11","3.222","9.1","27.3","36.4","9.1",".",".",".","18.2",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Risk Mgmt Info Systems","820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Risk Mgt&Ins Phd","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","","Dept. Total","","320","2.997","16.6","10.6","46.3","12.8","9.7","1.9","0.6","1.3",".",".",".","0.3",".",".",".","."
