"MED","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212
001","22","3.205","22.7","18.2","40.9","13.6","4.5",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508
001","17","3.340","29.4","17.6","29.4","17.6",".",".",".","5.9",".",".",".",".",".",".",".","."
"Dev Public Health-America","509
001","12","3.045","16.7","33.3","25.0","8.3",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523
001","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558
001","13","3.318","15.4","38.5","15.4","15.4",".",".",".","7.7",".",".",".",".","7.7",".",".","."
"Topics-Ethics & Hist of Med","559
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Medicine Since 1750","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","001
720","23","4.000","4.3",".",".",".",".",".",".","95.7",".",".",".",".",".",".",".","."
"Ethical Issues in Medicine","730
001","11","3.833","36.4","18.2",".",".",".",".",".","27.3",".",".",".","9.1",".",".",".","9.1"
"Reading and Research","890
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Studies-Medical Hist","901
001","7","3.833","28.6","14.3",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"MED HIST
452","Dept. Total","134","3.394","28.4","18.7","16.4","6.7","1.5",".","0.7","23.9",".",".",".","1.5","1.5",".",".","0.7"
