"MED","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","",""
"","875
001","","14","3.536","21.4","64.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","875
004","","8","3.688","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Pharmacology","Course Total","","27","3.610","37.0","55.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar & Journal Club","901
001","","18","3.750","61.1","16.7","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Treatment-Cancer Pain-CSC","920
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","010
990","","7","3.313","14.3","14.3",".",".","14.3",".",".","14.3",".",".",".","42.9",".",".",".","."
"","990
011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","16","3.633","18.8","6.3",".",".","6.3",".",".","43.8",".",".",".","25.0",".",".",".","."
