"ANTHROPOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","","",""
"","100","001","176","3.017","14.2","18.2","33.0","26.1","6.8",".","0.6","1.1",".",".",".",".",".",".",".","."
"","100","002","173","3.085","17.3","21.4","30.6","24.3","4.0",".","1.2","1.2",".",".",".",".",".",".",".","."
"General Anthropology","","Course Total","349","3.051","15.8","19.8","31.8","25.2","5.4",".","0.9","1.1",".",".",".",".",".",".",".","."
"Archaeology & Prehist World","102","001","64","3.175","23.4","18.8","40.6","6.3","7.8",".","1.6",".",".",".",".",".",".",".","1.6","."
"Cult Anthro&Human Diversity","104","001","467","3.149","22.3","18.0","42.2","3.2","10.7","1.5","0.4","1.7",".",".",".",".",".",".",".","."
"Human Biology Laboratory","106","001","21","3.476","52.4","14.3","19.0","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Evolution of Human Species","107","001","217","2.609","13.8","7.8","29.5","11.1","27.2","6.5","3.7","0.5",".",".",".",".",".",".",".","."
"Principles of Archaeology","112","001","118","2.778","9.3","17.8","26.3","24.6","16.9","1.7","2.5","0.8",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","10","3.200","10.0","30.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","20","3.316","45.0","20.0","10.0","10.0","5.0",".","5.0","5.0",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300","001","68","3.940","89.7","5.9","2.9",".",".",".",".","1.5",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303","001","16","3.094","18.8",".","68.8","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Archaeology","310","203","1","***","","","","","","","","","",".",".",".",".",".",".","."
"The Origins of Civilization","322","001","75","3.082","14.7","25.3","33.3","14.7","8.0",".","1.3","2.7",".",".",".",".",".",".",".","."
"","330","001","10","3.350","40.0","50.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"","330","203","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","330","204","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Ethnology","","Course Total","13","3.434","46.2","38.5","7.7",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Anthropology of Religion","343","001","27","3.077","25.9","25.9","11.1","18.5","11.1",".","3.7",".",".",".",".",".","3.7",".",".","."
"Anthro Approach to Folklore","344","001","23","3.636","47.8","26.1","21.7",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Elementary Quechua","362","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Quechua","364","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bones for the Archaeologist","391","001","19","3.278","36.8","21.1","15.8","10.5","5.3","5.3",".","5.3",".",".",".",".",".",".",".","."
"Evolutionary Biology","410","001","13","2.385","15.4",".","30.8",".","30.8","23.1",".",".",".",".",".",".",".",".",".","."
"Anthropology by Women","443","001","13","3.167","15.4","15.4","46.2","15.4",".",".",".",".",".",".",".",".",".","7.7",".","."
"","490","001","17","3.281","41.2","5.9","17.6","23.5","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"","490","002","16","3.844","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","003","8","3.688","75.0",".","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","","Course Total","41","3.588","58.5","14.6","9.8","12.2","2.4",".",".",".",".",".",".",".","2.4",".",".","."
"Psychological Anthropology","545","001","32","3.145","12.5","25.0","40.6","15.6","3.1",".",".","3.1",".",".",".",".",".",".",".","."
"Current Probs-Paleoanthro","605","001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecological Models-Behavior","658","001","18","3.694","50.0","38.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","690","001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","690","002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Anthropology","","Course Total","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Archaeologic Meth-Curation","696","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","698","063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","11","3.708","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 161 of 383",""
