"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Biopharm & Pharmacokinetics","001","","140","3.175","15.7","30.0","30.7","20.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"490","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","002","","142","3.447","38.7","24.6","26.8","7.0","2.8",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","Course Total","","155","3.494","43.9","22.6","24.5","6.5","2.6",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","151","3.295","32.5","18.5","31.1","11.3","6.6",".",".",".",".",".",".",".",".",".",".","."
"531
Medicinal Chemistry I","001","","142","3.447","38.7","24.6","26.8","7.0","2.8",".",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","144","3.486","38.2","38.2","11.8","6.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"541
Pharm Calc & Compounding","001","","141","3.539","48.2","22.7","20.6","5.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicology Seminar","001","","42","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","092","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Molecular Solids","001","","10","3.500","60.0","10.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","001","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","002","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"932","003","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmaceutical Sci Seminar","Course Total","","55","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"990","016","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","085","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 408 of 426",""
