"TERM : 1184","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2017-2018","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","",""
"","NEUROSCIENCE TRAINING PRO Section","#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682","NTP","","","","","","","","","","","","","","","","","","","","",""
"682","NTP","200
Dept. Total","3.619","44.0","2.0","5.5","",".","1.0","1.0","0.5","44.5","0.5",".","",".","",".","0.5",".","0.5","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"682","NTP","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
