"SOCIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Social Psychology","456","001","","15","3.200","20.0","26.7","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","475","003","","21","3.000","28.6","28.6","19.0","9.5",".","4.8","9.5",".",".",".",".",".",".",".",".","."
"","475","004","","13","3.154","15.4","23.1","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","34","3.059","23.5","26.5","26.5","14.7",".","2.9","5.9",".",".",".",".",".",".",".",".","."
"","496","001","","33","3.532","45.5","24.2","12.1","9.1","3.0",".",".",".",".",".",".",".",".","6.1",".","."
"","496","002","","6","3.800","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","496","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","496","005","","17","3.588","35.3","47.1","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","496","006","","6","3.417","50.0","16.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".","."
"","496","009","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Sociology","","Course Total","","72","3.560","50.0","25.0","11.1","8.3","1.4",".",".",".",".",".",".",".","1.4","2.8",".","."
"Public Hlth-Rural & Urban Comm","533","001","","22","3.820","63.6","22.7","4.5",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Talk and Social Interaction","535","001","","10","2.919","20.0","20.0","20.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","12","3.554","66.7","8.3","8.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","","20","2.974","30.0","10.0","15.0","25.0","5.0","10.0",".","5.0",".",".",".",".",".",".",".","."
"Social Movements","626","001","","9","3.188","44.4","22.2",".","11.1",".",".","11.1",".",".",".",".",".","11.1",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","30","3.293","26.7","33.3","20.0","10.0","3.3","3.3",".",".",".",".",".",".","3.3",".",".","."
"Social Stratification","633","001","","9","3.375","33.3","22.2","11.1","22.2",".",".",".",".",".",".",".",".","11.1",".",".","."
"Sociology of the Family","640","001","","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","","8","3.700","37.5","12.5","12.5",".",".",".",".","25.0",".",".",".",".","12.5",".",".","."
"Population and Society","663","001","","16","3.719","62.5","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Cap, Soc, Democ-Am 1890 on","670","001","","12","3.227","33.3","25.0","25.0",".",".",".","8.3","8.3",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Pract-Analysis & Research","693","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Crimnl Justice Fld Observtn","694","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EmethodologyConvAnalysis","735","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods-Sociology","750","001","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cmpartv&Hist Methods-Sociol","753","001","","11","3.938","63.6","9.1",".",".",".",".",".","9.1",".",".",".",".","18.2",".",".","."
"Methods-Qualitative Resch","755","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
