"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","28","4.000","96.4",".",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"715
Infant Mental Health Practice","001","","26","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"716
Reflective Practices IMH II","001","","26","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"812","041","","15","3.500","40.0","20.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","12","3.545","33.3","33.3","25.0",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"812","043","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","41","3.563","41.5","26.8","29.3",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"919
Individualized 4th Yr Clerk","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","2","***","","","","","","","","","","","","","","","",""
"925","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"930
Geriatric Psychiat Clrk-VAH","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
