"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"426
Pharm Practice Experience II","001","","142","3.926","90.1","7.7","1.4",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"462
Prof Develop & Engagement I","001","","141","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"490","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","003","","39","3.895","84.6","5.1","7.7",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"490","007","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","008","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","009","","16","3.813","81.3","12.5",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"490","010","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","012","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","172","3.953","94.2","2.3","2.3",".","0.6",".",".","0.6",".",".",".",".",".",".",".","."
"526
Intro-Phm Prac Experience IV","056","","144","3.958","94.4","4.2","0.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"554
Pharmacotherapy Skills II","001","","138","3.710","50.0","43.5","5.8",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"556
Pharmacotherapy II","001","","138","3.246","21.0","33.3","28.3","11.6","5.1",".","0.7",".",".",".",".",".",".",".",".","."
"559
Intro: Antimicrobial Therapy","001","","79","3.513","32.9","44.3","15.2","7.6",".",".",".",".",".",".",".",".",".",".",".","."
"570
Drug Literature Evaluation","001","","144","3.267","26.4","29.9","22.2","16.7","4.2",".","0.7",".",".",".",".",".",".",".",".","."
"626
Intro - Phm Prac Experience VI","056","","145","3.990","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650
Comprehnsv Immunizatn Delivery","001","","129","2.796","7.0","12.4","17.8","26.4","10.9",".","1.6","23.3","0.8",".",".",".",".",".",".","."
"654
Pharmacotherapy Skills IV","001","","146","3.688","50.7","38.4","8.9","2.1",".",".",".",".",".",".",".",".",".",".",".","."
"656
Pharmacotherapy IV","001","","149","3.044","13.4","22.8","34.9","16.8","12.1",".",".",".",".",".",".",".",".",".",".","."
"657
Sem Pediatric Pharmacotherapy","001","","28","3.769","53.6","35.7","3.6",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"668
Seminars in Critical Care","001","","20","3.833","60.0","30.0",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"673
Seminar:Global Health Pharmacy","001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"674
Seminars in Mental Health Care","001","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"679
Advanced Diabetes Management","001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"710
Geriatric Pharmacy Practice","001","","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 411 of 426",""
