"","COMMUNITY & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"864
C&E SOC","","","","","","","","","","","","","","","","","","","","",""
"Intro-Community & Envir Soc","140","001","","28","3.429","50.0","17.9","10.7","17.9",".","3.6",".",".",".",".",".",".",".",".",".","."
"Survey of Sociology","210","001","","23","3.318","21.7","34.8","30.4",".","8.7",".",".",".",".",".",".",".","4.3",".",".","."
"The Sociological Enterprise","211","001","","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","248","001","","14","3.429","42.9","14.3","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","248","002","","20","3.275","35.0","20.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","","34","3.338","38.2","17.6","26.5","8.8","8.8",".",".",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","299","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","357","001","","14","3.250","7.1","50.0","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","360","001","","8","3.563","50.0","25.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Data Mgt for Sociological Res","365","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","375","001","","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","002","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","003","","20","3.600","55.0","20.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","55","3.736","61.8","27.3","7.3","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","399","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","475","003","","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","475","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Classical Soc Theory","","Course Total","","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Capstone Experience","500","001","","19","3.079","21.1","31.6","15.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Public Hlth-Rural & Urban Comm","533","001","","10","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Stwrdshp & Soc Justice","541","001","","34","3.790","64.7","20.6","2.9",".","2.9",".",".","8.8",".",".",".",".",".",".",".","."
"Community Development","617","001","","15","3.464","20.0","53.3","13.3","6.7",".",".",".","6.7",".",".",".",".",".",".",".","."
"Soc:Devlp Societies/3rd Wld","630","001","","7","3.214",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol-Economic Institutions","652","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","075","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Research Methods-Sociology","750","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","875","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Race & Ethnic Relations","922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr: Sociol-Econ Change","940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch:Comm & Environmental Soc","985","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","990","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","093","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","","","Page 41 of 426"
