"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120","001","93","3.951","90.3","7.5","1.1",".",".",".",".",".",".",".",".",".",".","1.1",".","."
"","125","001","124","3.283","41.1","18.5","12.9","16.1","6.5","1.6","1.6","1.6",".",".",".",".",".",".",".","."
"","125","002","21","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Soc: How It Really Works","","Course Total","145","3.346","44.8","20.7","11.0","13.8","5.5","1.4","1.4","1.4",".",".",".",".",".",".",".","."
"Criminal Justice in America","131","001","73","2.743","12.3","16.4","28.8","17.8","13.7","5.5","4.1","1.4",".",".",".",".",".",".",".","."
"","134","001","98","3.357","33.7","23.5","29.6","7.1","6.1",".",".",".",".",".",".",".",".",".",".","."
"","134","002","97","3.557","44.3","35.1","12.4","6.2","1.0","1.0",".",".",".",".",".",".",".",".",".","."
"","134","003","100","3.930","90.0","7.0","2.0","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"","134","004","95","3.947","95.8","2.1",".",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Am Racial&Ethnic Minorities","","Course Total","390","3.697","65.9","16.9","11.0","3.6","2.3","0.3",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","138","001","100","3.869","83.0","14.0",".",".","1.0",".","1.0",".","1.0",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140","001","37","3.444","43.2","32.4","8.1","5.4","2.7","5.4",".",".",".",".",".",".",".","2.7",".","."
"Population Problems","170","001","390","3.238","21.8","33.1","24.6","15.4","2.8","2.1",".",".",".",".",".",".","0.3",".",".","."
"Intercultural Dialogues","205","001","30","3.717","70.0","6.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Leadership in ICD","206","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Sociology","210","001","64","3.357","29.7","29.7","23.4","12.5","3.1",".",".",".",".",".",".",".",".",".","1.6","."
"The Sociological Enterprise","211","001","62","3.344","38.7","21.0","17.7","11.3","9.7",".",".",".",".",".",".",".","1.6",".",".","."
"Ethnic Movements in U.S.","220","001","54","3.750","66.7","22.2","7.4","1.9","1.9",".",".",".",".",".",".",".",".",".",".","."
"","248","001","13","3.500","38.5","30.8","15.4",".","7.7",".",".",".",".",".",".",".","7.7",".",".","."
"","248","002","9","3.111","33.3","22.2","22.2",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","22","3.333","36.4","27.3","18.2",".","9.1","4.5",".",".",".",".",".",".","4.5",".",".","."
"Civs of India-Modern Period","252","001","10","3.450","80.0",".",".","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","011","8","4.000","12.5",".",".",".",".",".",".",".",".",".",".",".","87.5",".",".","."
"","320","035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","049","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","066","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","082","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","093","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","209","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","299","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Practicum","","Course Total","28","3.953","71.4",".","3.6",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Meth-Sociological Inquiry","357","001","71","3.312","11.3","50.7","26.8","7.0",".","1.4",".",".",".",".",".",".","2.8",".",".","."
"Stats for Sociologists I","360","001","65","3.038","29.2","13.8","24.6","12.3","15.4","3.1","1.5",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361","001","11","3.273","36.4","36.4",".","18.2",".","9.1",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362","001","35","3.382","22.9","37.1","28.6","8.6",".",".",".","2.9",".",".",".",".",".",".",".","."
"Data Mgt for Sociological Res","365","001","19","3.658","68.4","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Criminology","441","001","97","3.372","23.7","41.2","23.7","4.1","3.1",".","1.0","2.1",".",".",".",".","1.0",".",".","."
"Human Sexuality","453","001","51","3.020","19.6","17.6","33.3","9.8","13.7","3.9",".",".",".",".",".",".","2.0",".",".","."
