"RISK MANAGEMENT AND INSUR Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300
001","261","3.073","36.8","7.7","23.4","6.9","19.9","5.0",".","0.4",".",".",".",".",".",".",".","."
"","365
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","399
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640
001","36","3.257","33.3","25.0","19.4","8.3","8.3",".","2.8","2.8",".",".",".",".",".",".",".","."
"Commercial Insurance","645
001","18","3.250","38.9","16.7","33.3",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","660
001","60","3.627","60.0","16.7","16.7",".","3.3","1.7",".","1.7",".",".",".",".",".",".",".","."
"","660
002","55","3.627","56.4","16.4","25.5",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Risk Analytics & Behav Science","Course Total","115","3.627","58.3","16.5","20.9",".","2.6","0.9",".","0.9",".",".",".",".",".",".",".","."
"Managing Legal Risks","001
701","35","3.557","45.7","20.0","34.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765
030","45","3.578","40.0","35.6","24.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Risk Management","799
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875
001","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Act Sci,Risk Mgmt & Ins II","930
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","Course Total","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"Read&Rsch-Risk Mgt&Ins Phd","999
119","1","***","","","","","","","","","",".",".",".",".",".",".","."
"R M I
241","Dept. Total","548","3.304","44.7","13.5","22.4","3.8","10.8","2.6","0.4","1.5",".",".",".","0.4",".",".",".","."
