"OPHTHALMOLOGY AND VISUAL  Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","",""
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","295","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","298","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","299","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total","","7","3.938","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
