"","919
005
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","919
006
2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","919
041
1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Indiv 4th Yr Clin Clerkship","Course Total
7","3.938","85.7","14.3","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"OPHTHALM
702","22
Dept. Total","3.980","95.5","4.5","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","","BC","C","","D","","F","","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","10","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Undergraduates","14","4.000","100.0",".","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","7","3.938","85.7","14.3","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
"","Dept. Total
22","3.980","95.5","4.5","",".",".","",".","",".","",".","",".","",".",".",".",".",".",".",".","."
