"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"","300
001","","32","3.703","65.6","12.5","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","","18","3.694","61.1","22.2","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods I","Course Total","","50","3.700","64.0","16.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","51","3.873","86.3","3.9","7.8","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","","40","3.875","87.5","2.5","7.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","91","3.874","86.8","3.3","7.7","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","45","3.000","24.4","20.0","22.2","15.6","11.1","4.4","2.2",".",".",".",".",".",".",".",".","."
"","303
002","","44","3.034","29.5","9.1","34.1","15.9","2.3","6.8","2.3",".",".",".",".",".",".",".",".","."
"Theory-Interst & Life Insur","Course Total","","89","3.017","27.0","14.6","28.1","15.7","6.7","5.6","2.2",".",".",".",".",".",".",".",".","."
"","651
001","","24","3.375","29.2","37.5","16.7","12.5","4.2",".",".",".",".",".",".",".",".",".",".","."
"","002
651","","12","2.917","25.0","8.3","33.3","25.0",".",".","8.3",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics II","Course Total","","36","3.222","27.8","27.8","22.2","16.7","2.8",".","2.8",".",".",".",".",".",".",".",".","."
"Loss Models I","001
652","","31","3.177","25.8","16.1","32.3","19.4","6.5",".",".",".",".",".",".",".",".",".",".","."
"","653
001","","42","3.220","31.0","14.3","31.0","9.5","11.9",".",".",".",".",".",".",".","2.4",".",".","."
"","653
002","","42","3.012","19.0","23.8","28.6","11.9","11.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"Loss Models II","Course Total","","84","3.114","25.0","19.0","29.8","10.7","11.9","1.2","1.2",".",".",".",".",".","1.2",".",".","."
"","654
001","","36","3.403","47.2","16.7","19.4","8.3","5.6","2.8",".",".",".",".",".",".",".",".",".","."
"","654
002","","27","3.222","33.3","29.6","14.8","14.8",".","3.7","3.7",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","Course Total","","63","3.325","41.3","22.2","17.5","11.1","3.2","3.2","1.6",".",".",".",".",".",".",".",".","."
"Health Analytics","001
655","","21","3.310","38.1","19.0","14.3","23.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"ACT SCI
242","Dept. Total","","465","3.242","44.7","15.7","20.9","11.0","4.7","1.7","1.1",".",".",".",".",".","0.2",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","112","3.223","57.1","9.8","17.0","8.0","3.6","2.7","1.8",".",".",".",".",".",".",".",".","."
"Junior","","","123","3.339","52.8","12.2","20.3","10.6","4.1",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","203","3.201","33.0","20.2","24.1","12.3","6.4","2.0","1.5",".",".",".",".",".","0.5",".",".","."
"Undergraduates","","","439","3.230","44.6","15.3","21.2","10.7","5.0","1.8","1.1",".",".",".",".",".","0.2",".",".","."
"Special","","","26","3.426","46.2","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","","465","3.242","44.7","15.7","20.9","11.0","4.7","1.7","1.1",".",".",".",".",".","0.2",".",".","."
