"","COMMUNICATION SCI & DISORD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
CS&D","","","","","","","","","","","","","","","","","","","",""
"Intro to Communicative Dis","110","001","191","3.641","61.3","19.9","11.0","4.7","1.6","1.6",".",".",".",".",".",".",".",".",".","."
"Speech Science","201","001","88","3.364","34.1","31.8","21.6","4.5","4.5","3.4",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","133","3.271","39.1","25.6","15.8","7.5","6.0","3.0","3.0",".",".",".",".",".",".",".",".","."
"Neural Base Comm","210","001","186","3.522","56.5","23.7","8.6","2.7","3.2","2.7","2.2",".",".",".",".",".",".",".","0.5","."
"Voice, Craniofac & Fluency Dis","318","001","85","3.894","81.2","17.6",".","1.2",".",".",".",".",".",".",".",".",".",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","93","3.957","92.5","6.5","1.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","103","3.908","86.4","8.7","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","95","3.542","42.1","30.5","24.2",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"","682","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","060","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Swallowing Disorders","707","001","28","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"School Methods in Lang Dis","709","001","28","3.982","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone in Comm Sci & Dis","752","001","20","3.775","70.0","15.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","004","7","3.846","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","007","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Com Disorders","","Course Total","37","3.914","89.2","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Audiology","832","001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediat Habilitatn/Rehabilitatn","836","001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Geriatric Audiol: Diag & Rehab","849","001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems I","856","001","11","3.682","72.7",".","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Lab in Amplification Systems I","857","001","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiolog Assess Audiology I","858","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab-Physiol Assess Aud Sys I","859","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory & Vestibular Path II","862","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Amplification Systems II","866","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 199 of 426",""
