"SURGICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"938
SURG SCI","","","","","","","","","","","","","","","","","","","",""
"542
Veterinary Ophthalmology","001","","80","3.331","36.3","17.5","30.0","8.8","7.5",".",".",".",".",".",".",".",".",".",".","."
"544
Surgery Fundamentals","001","","87","3.895","82.8","11.5","4.6",".",".",".",".",".",".",".",".",".","1.1",".",".","."
"547
Fundamentals of Anesthesiology","001","","87","3.483","39.1","26.4","31.0","1.1","1.1","1.1",".",".",".",".",".",".",".",".",".","."
"631
Large Animal Surgery","001","","80","3.138","23.8","25.0","21.3","17.5","11.3","1.3",".",".",".",".",".",".",".",".",".","."
"632
Small Animal Surgery Lab","001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"634
Small Animal Anesthesia Lab","001","","80","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"642","001","","36","4.000","11.1",".",".",".",".",".",".","86.1",".",".",".",".","2.8",".",".","."
"642","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Large Animal Surgery","Course Total","","40","4.000","15.0",".",".",".",".",".",".","82.5",".",".",".",".","2.5",".",".","."
"644
Small Orthopedic Surgery","001","","19","4.000","42.1",".",".",".",".",".",".","57.9",".",".",".",".",".",".",".","."
"645","001","","33","3.800","42.4",".",".",".",".","3.0",".","54.5",".",".",".",".",".",".",".","."
"645","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Genrl Surgery","Course Total","","36","3.824","44.4",".",".",".",".","2.8",".","52.8",".",".",".",".",".",".",".","."
"646
Veterinary Anesthesiology","001","","30","3.700","30.0",".",".",".",".","3.3",".","66.7",".",".",".",".",".",".",".","."
"647
Radiology Clinics","001","","27","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"675","001","","21","4.000","76.2",".",".",".",".",".",".","23.8",".",".",".",".",".",".",".","."
"675","004","","28","4.000","71.4",".",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"675","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","006","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"675","008","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","010","","46","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","123","4.000","38.2",".",".",".",".",".",".","61.8",".",".",".",".",".",".",".","."
"676
Special Species Health","001","","80","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Vet Dentistry Elective","001","","56","4.000","91.1",".",".",".",".",".",".","8.9",".",".",".",".",".",".",".","."
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","22","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"741
Clinical Ophthalm Rotation","001","","33","4.000","66.7",".",".",".",".",".",".","30.3",".",".",".",".","3.0",".",".","."
"743
Adv Anesthlgy/Crit Care Med","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
