"EMERGENCY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"330
EMER MED","","","","","","","","","","","","","","","","","","","",""
"699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930
Wilderness Medicine","002","","34","",".",".",".",".",".",".",".","97.1",".",".",".",".","2.9",".",".","."
"958","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"958","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"958","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"958","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"958","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Bedside Ultrasound","Course Total","","5","***","","","","","","","","","","","","","","","",""
"959","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"959","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"959","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Regional","Course Total","","12","3.722","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"960","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"960","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"960","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"960","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960","007","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"960","008","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"EM Elective - Basic","Course Total","","26","3.654","34.6","61.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"961","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"961","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"961","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"EM Elective - Advanced","Course Total","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"998
Independent Study","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
