"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","056","","26","3.965","92.3",".","3.8",".",".",".",".",".",".",".",".",".","3.8",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","093","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","108","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","9","3.833","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","33.3","."
"699","110","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol 699: Directed Research","Course Total","","50","3.947","86.0","2.0","4.0",".",".",".",".",".",".",".",".",".","2.0",".","6.0","."
"779
Hum Muscl Func/Hlth&Disease","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","041","","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","042","","15","3.400","26.7","26.7","46.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","16","3.469","31.3","37.5","25.0","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Neuroscience Core Clerkship","Course Total","","45","3.422","26.7","33.3","37.8","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","2","***","","","","","","","","","","","","","","","",""
