"NEUROLOGICAL SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","",""
"","699
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","14","3.919","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
006","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
012","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
013","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurosurg-Directed Study","Course Total","","46","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","919
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"NEURSURG
678","Dept. Total","","48","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
