"SOCIAL WORK","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","64","3.406","37.5","37.5","10.9","6.3","4.7","1.6","1.6",".",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","84","3.530","38.1","35.7","21.4","3.6","1.2",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206
001","64","3.016","17.2","28.1","29.7","12.5","4.7","4.7","3.1",".",".",".",".",".",".",".",".","."
"","401
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401
007","14","3.919","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
008","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
009","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
010","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
011","13","3.932","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
012","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
013","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
101","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401
102","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","401
201","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","Course Total","118","3.982","96.6","1.7","0.8",".",".",".",".",".",".",".",".",".","0.8",".",".","."
"Poverty and Social Welfare","420
001","23","3.435","26.1","43.5","21.7","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Social Issues in Aging","422
001","25","3.708","52.0","32.0","12.0",".",".",".",".",".",".",".",".",".",".","4.0",".","."
"","442
010","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","442
020","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Genlst Pract w Comms & Orgs","Course Total","29","3.845","69.0","31.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453
001","108","3.495","35.2","42.6","17.6","0.9","1.9","0.9","0.9",".",".",".",".",".",".",".",".","."
"Small Groups-Soc Work Pract","454
001","9","3.556","55.6","11.1","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Human Behavior & Environmnt","457
001","68","3.739","55.9","35.3","5.9","1.5",".",".",".",".",".",".",".",".","1.5",".",".","."
"Social Policy","606
001","47","3.798","59.6","40.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
001","32","3.359","28.1","31.3","31.3","3.1","6.3",".",".",".",".",".",".",".",".",".",".","."
"","002
612","30","3.833","70.0","26.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
003","31","3.613","45.2","38.7","9.7","6.5",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology in Gnlst Pract","Course Total","93","3.597","47.3","32.3","15.1","3.2","2.2",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
001","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","22","3.841","72.7","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
640","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
010","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
640","15","3.733","60.0","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
020","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethnic and Racial Groups","Course Total","103","3.845","73.8","21.4","4.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644
001","34","3.838","76.5","17.6","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","030
644","36","3.761","58.3","30.6","8.3",".",".",".",".",".",".",".",".",".","2.8",".",".","."
"Issues in Dev. Disabilities","Course Total","70","3.801","67.1","24.3","5.7",".","1.4",".",".",".",".",".",".",".","1.4",".",".","."
"Methods-Social Wrk Research","650
001","70","3.164","30.0","10.0","40.0","5.7","12.9","1.4",".",".",".",".",".",".",".",".",".","."
"","656
001","16","3.617","43.8","37.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","030
656","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam Prac-Foster & Kinship Care","Course Total","28","3.648","46.4","39.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
