"","POPULATION HEALTH SCIENCE Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Publ Hlth:Local-Globl Perspect","370","001","464","3.432","28.7","39.2","24.4","5.2","2.2","0.2",".",".",".",".",".",".","0.2",".",".","."
"Intro-Environmental Health","471","001","48","3.771","60.4","33.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regression Methods-Pop Health","552","001","11","3.727","63.6","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth Impact of Global Envr Chg","560","001","9","3.778","77.8","11.1",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Clinicl&Pub Hlth Microbiol","603","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Foundations-Global Hlth Pract","640","001","50","3.989","90.0","2.0",".",".",".",".",".",".",".",".",".",".","4.0",".","4.0","."
"","644","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","004","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","644","005","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Health & Disease","","Course Total","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","650","083","23","3.348","26.1","43.5","17.4","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","030","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","19","3.953","84.2","5.3",".",".",".",".",".",".",".",".",".",".","5.3",".","5.3","."
"Leadership for PH Improvement","714","001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Community Engagement","715","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"IP Public Health Leadership","758","001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Hlth: Principles&Pract","780","001","15","3.600","53.3","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Health Sys, Mngmnt, & Policy","785","001","49","3.677","36.7","59.2","2.0",".",".",".",".","2.0",".",".",".",".",".",".",".","."
"Social & Behav Sci-Public Hlth","786","002","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MPH Field Experience Seminar","787","001","35","3.971","94.3",".","2.9",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Public Health Field Experience","788","001","23","3.863","65.2","26.1",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Environmental Health","789","001","46","3.911","80.4","17.4",".",".",".",".",".",".",".",".",".",".","2.2",".",".","."
"Physical Activity Epidemiology","791","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Health Services Research","796","001","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Epidemiologic Methods","798","001","21","3.429","33.3","38.1","14.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".","."
"Epidemiology-Infect Disease","801","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Epidemiology","806","001","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Netwrk Anlysis & Health","819","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate Research Seminar","820","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cost Eff. Analysis Healthcare","875","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Measuring Health Outcomes","876","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Health Genomics","888","001","15","3.633","46.7","33.3","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internl Hlth Systems & Policy","915","050","7","3.417","28.6","28.6","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"June 20, 2018","","","","","","","","","","","","","","","","","","","Page 391 of 426",""
