"PHYSICIAN ASSISTANT PROGRA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Clinical Medicine II","602
001","52","3.750","55.8","38.5","5.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pediatrics","603
001","53","3.575","37.7","39.6","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Prev & Community Prac II","611
001","51","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Professional Seminar III","618
001","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Adv Patient Eval-Prim Care II","621
001","53","3.962","92.5","3.8","1.9",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Clinical Pharmacology II","641
001","52","3.452","28.8","40.4","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Emergency Medicine","648
001","53","3.698","49.1","41.5","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Diagnostic Methods II","651
001","52","3.615","42.3","42.3","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Skills Laboratory","660
001","53","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
002","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","34","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Profess'l Smnr & Capstone II","718
001","46","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Phy Asst Preceptor: Surgery","729
001","9","3.667","44.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Fam Med","739
001","15","3.800","73.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Precptrshp: Int Med","749
001","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Asst Precptrshp: Emrg Med","759
001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Asst Preceptorship:Electve","769
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","644","3.775","41.1","19.4","6.8","0.9",".",".",".",".",".","31.5",".",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","",""
"Graduate","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 1","","460","3.685","37.6","22.4","7.4","1.3",".",".",".",".",".","31.1",".",".","0.2",".",".","."
"Prof Yr 2","","147","3.868","51.0","9.5","6.1",".",".",".",".",".",".","33.3",".",".",".",".",".","."
"Prof Yr 3","","6","3.917","50.0","16.7",".",".",".",".",".",".",".","33.3",".",".",".",".",".","."
"Prof Yr 4","","29","3.790","41.4","24.1","3.4",".",".",".",".",".",".","31.0",".",".",".",".",".","."
"Professionals","","642","3.775","41.0","19.5","6.9","0.9",".",".",".",".",".","31.6",".",".","0.2",".",".","."
"","Dept. Total","644","3.775","41.1","19.4","6.8","0.9",".",".",".",".",".","31.5",".",".","0.2",".",".","."
